"","RG025","RG026","RG027","RG029","RG031","RG032","RG033","RG034","RG037","RG038","RG043","RG045","RG048","RG049","RG050","YBH039","YBH041","YBH051","YBH052","YBH053","YBH055","YBH056"
"Otu40",0,0,0,0,0,0,0,0,0,1646,0,0,1,0,0,0,0,0,0,0,0,0
"Otu96",0,0,0,0,0,0,0,0,0,829,0,0,0,12,0,0,0,0,0,0,0,0
"Otu290",0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
"Otu79",0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0
"Otu158",0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,1,0,0,0,0,0,0
"Otu254",0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
"Otu78",0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0
"Otu110",0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,24,0,0,0,0,0,0
"Otu46",0,0,0,0,0,0,0,0,0,788,0,356,0,0,0,0,0,0,0,0,0,0
"Otu122",0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0
"Otu285",0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
"Otu53",0,0,0,0,0,0,0,0,0,402,31,0,0,0,1007,0,0,5,2,1,2,0
"Otu235",0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
"Otu297",0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
"Otu130",0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0
"Otu95",0,0,0,0,0,0,0,0,0,395,0,72,0,0,0,0,0,0,0,0,0,0
"Otu119",0,0,0,0,0,0,0,0,0,281,0,87,0,0,0,0,0,0,0,0,0,0
"Otu253",0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,2,0,0,0,0
"Otu246",0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
"Otu81",0,0,0,0,0,0,0,0,0,84,28,437,0,21,0,7,0,0,0,0,0,0
"Otu118",0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0
"Otu144",0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0
"Otu232",0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
"Otu126",0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0
"Otu219",0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
"Otu385",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"Otu191",0,0,0,0,0,0,0,0,0,111,27,0,0,0,0,0,0,0,0,0,0,0
"Otu160",0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0
"Otu149",0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0
"Otu259",0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
"Otu153",0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0
"Otu328",0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
"Otu304",0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
"Otu247",0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
"Otu333",0,0,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0
"Otu662",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu797",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Otu421",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0
"Otu437",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0
"Otu476",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Otu530",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Otu627",0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0
"Otu593",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu423",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"Otu334",0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"Otu348",0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"Otu207",0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,1,0,0,0
"Otu327",0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
"Otu173",0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0
"Otu210",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"Otu22",0,0,0,0,0,0,0,0,0,0,50,279,135,0,8544,13,15,0,0,0,0,0
"Otu168",0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,17
"Otu503",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"Otu230",0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,1,0,0
"Otu280",0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,1,0,0,0
"Otu47",0,0,0,0,0,0,0,0,0,0,217,856,885,80,489,0,0,64,0,1,0,0
"Otu245",0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
"Otu427",0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
"Otu256",0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
"Otu398",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,1,0
"Otu463",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Otu101",0,0,0,0,0,0,0,0,0,0,123,182,0,59,0,0,0,0,3,0,0,1
"Otu337",0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
"Otu447",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Otu248",0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
"Otu390",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"Otu289",0,0,0,0,0,0,0,0,0,0,50,0,0,3,0,0,0,0,0,0,0,0
"Otu434",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"Otu373",0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"Otu387",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0
"Otu749",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Otu249",0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
"Otu388",0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0
"Otu241",0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0
"Otu354",0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,78,0
"Otu343",0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
"Otu114",0,0,0,0,0,0,0,0,0,0,6,0,0,0,308,16,0,0,0,0,3,0
"Otu305",0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,4,0,0
"Otu469",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"Otu500",0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
"Otu526",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Otu472",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0
"Otu438",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"Otu370",0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
"Otu359",0,0,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0,0,0,0,0,0
"Otu498",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Otu429",0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"Otu340",0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
"Otu338",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
"Otu642",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Otu541",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Otu426",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"Otu494",0,0,0,0,0,0,0,0,0,0,8,0,0,9,1,0,0,0,0,0,0,0
"Otu341",0,0,0,0,0,0,0,0,0,0,9,0,0,24,0,0,0,0,0,0,0,0
"Otu491",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Otu431",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Otu416",0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
"Otu580",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Otu196",0,0,0,0,0,0,0,0,0,0,9,124,0,0,0,0,0,0,0,0,2,34
"Otu727",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu457",0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"Otu488",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0
"Otu613",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,139,5830,36,131,21,44
"Otu48",0,0,0,0,0,0,0,0,0,0,7,167,920,19,0,0,0,40,7,1,0,0
"Otu485",0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0
"Otu520",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Otu632",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Otu465",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0
"Otu771",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Otu357",0,0,0,0,0,0,0,0,0,0,1,0,43,0,0,0,0,0,0,0,0,0
"Otu617",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Otu868",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu569",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Otu199",0,0,0,0,0,0,0,0,0,0,1,0,56,56,0,2,0,0,0,0,0,0
"Otu869",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu757",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Otu928",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Otu682",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu865",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu881",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,14,50,0,23,29
"Otu784",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"Otu710",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu121",0,0,0,0,0,0,0,0,0,0,2,278,0,0,0,0,0,0,0,0,0,1
"Otu117",0,0,0,0,0,0,0,0,0,0,1,324,0,0,0,0,0,0,0,0,0,0
"Otu146",0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0
"Otu97",0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0
"Otu155",0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,1,0,0,0,0
"Otu52",0,0,0,0,0,0,0,0,0,0,0,636,0,0,352,0,0,0,0,0,0,17
"Otu107",0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0
"Otu184",0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0
"Otu171",0,0,0,0,0,0,0,0,0,0,0,133,9,0,0,0,0,0,0,0,0,0
"Otu99",0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0
"Otu250",0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0
"Otu133",0,0,0,0,0,0,0,0,0,0,0,247,0,39,0,0,0,0,0,0,0,0
"Otu143",0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0
"Otu102",0,0,0,0,0,0,0,0,0,0,0,377,0,14,0,0,0,0,0,0,0,0
"Otu215",0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,2,0
"Otu137",0,0,0,0,0,0,0,0,0,0,0,209,0,5,0,0,0,0,0,0,0,1
"Otu344",0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"Otu86",0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0
"Otu263",0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
"Otu198",0,0,0,0,0,0,0,0,0,0,0,117,0,45,51,0,0,3,0,0,6,0
"Otu201",0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0
"Otu252",0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,7,4,0,4,3
"Otu174",0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,8,0,0,0,0,0,0
"Otu134",0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0
"Otu170",0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0
"Otu369",0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
"Otu176",0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0
"Otu169",0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0
"Otu190",0,0,0,0,0,0,0,0,0,0,0,23,87,0,0,4,0,0,0,0,0,0
"Otu94",0,0,0,0,0,0,0,0,0,0,0,179,0,0,403,0,0,0,0,0,0,0
"Otu258",0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
"Otu63",0,0,0,0,0,0,0,0,0,0,0,40,632,0,0,0,0,0,0,0,0,0
"Otu192",0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0
"Otu364",0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"Otu240",0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0
"Otu358",0,0,0,0,0,0,0,0,0,0,0,26,0,24,0,0,0,0,0,0,0,0
"Otu316",0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,3,0,0,0
"Otu915",0,0,0,0,0,0,0,0,0,0,0,12,0,4,33,0,0,0,0,0,0,0
"Otu42",0,0,0,0,0,0,0,0,0,0,0,1,0,0,3331,0,0,0,0,3,0,0
"Otu406",0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
"Otu600",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0
"Otu730",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Otu412",0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,0,0,1,0,0,0
"Otu715",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Otu90",0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0
"Otu287",0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
"Otu93",0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0
"Otu83",0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,7,3,0,10,5
"Otu283",0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
"Otu163",0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0
"Otu218",0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0
"Otu92",0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0
"Otu82",0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0
"Otu145",0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0
"Otu214",0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0
"Otu194",0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0
"Otu301",0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
"Otu510",0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
"Otu56",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1015,0,0,0,0,0,0,0
"Otu439",0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0
"Otu647",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Otu243",0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
"Otu213",0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
"Otu43",0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,384,1,3325,4359,0,1671,2989
"Otu204",0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,11
"Otu165",0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,2,0,0,0
"Otu314",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
"Otu226",0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,5,0,0,0
"Otu59",0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,130,0,421,827,0,157,511
"Otu237",0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
"Otu162",0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,2,0,0,0,0,0,0
"Otu274",0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0
"Otu306",0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
"Otu188",0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0
"Otu293",0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,1,33,106,0,34,39
"Otu265",0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
"Otu267",0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
"Otu450",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,18,3,145,108,0,22,108
"Otu233",0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
"Otu323",0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
"Otu307",0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
"Otu234",0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
"Otu244",0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0
"Otu208",0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,3
"Otu268",0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
"Otu262",0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
"Otu345",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
"Otu242",0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
"Otu353",0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"Otu347",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,29,0,0,32
"Otu377",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2
"Otu346",0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
"Otu558",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"Otu352",0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
"Otu418",0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0
"Otu478",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"Otu546",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"Otu511",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"Otu936",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Otu505",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Otu924",0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
"Otu663",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,175,385,0,49,280
"Otu452",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,49,137,0,18,59
"Otu767",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
"Otu801",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,5,0,15,59
"Otu862",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,382,267,1,45,0,60,16
"Otu709",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,28,2,0
"Otu125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0
"Otu55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,0,0,0,0,0,0,0
"Otu50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0
"Otu203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0
"Otu164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0
"Otu217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,1,0
"Otu424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
"Otu109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0
"Otu284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,0,0,0,0,0,5
"Otu332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
"Otu211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,17,0,0,0,0,0,0
"Otu420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"Otu747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"Otu157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0
"Otu269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0
"Otu923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Otu19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,505,1485,2931,0,2174,1
"Otu154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,51,82,0,15,37
"Otu752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Otu455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,224,888,0,185,607
"Otu70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,539,0,0,0
"Otu147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,13,107,0,22,0
"Otu803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,945,3,9,0,41,463
"Otu748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,14,0,5,10
"Otu310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,95,267,0,91,69
"Otu166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,25,58,3,0,0
"Otu64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,759,1497,0,788,635
"Otu675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,9,37
"Otu606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,1,3,0,1,19
"Otu635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,18,18
"Otu673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,4,268,0,168,92
"Otu650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,416,501,9,174,681
"Otu278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,28,6,0,0,2
"Otu142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,85,152,0,14,88
"Otu411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"Otu433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"Otu668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,74,203,0,14,136
"Otu87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,30,94,5,50,38,50
"Otu401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,3
"Otu696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,344,14,0,0,1,3
"Otu363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,5,0
"Otu785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,72,152,0,16,61
"Otu91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,921,882,120,0,57,177
"Otu548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,267,942,0,356,350
"Otu607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Otu571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,44,115,0,28,113
"Otu454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"Otu609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
