"","RG025","RG026","RG027","RG029","RG031","RG032","RG033","RG034","RG037","RG038","RG043","RG045","RG048","RG049","RG050","YBH039","YBH041","YBH051","YBH052","YBH053","YBH055","YBH056"
"Otu190",0,0,0,0,0,0,0,0,0,0,0,23,87,0,0,4,0,0,0,0,0,0
"Otu63",0,0,0,0,0,0,0,0,0,0,0,59,725,0,0,0,0,0,0,0,0,0
"Otu192",0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0
"Otu240",0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0
"Otu358",0,0,0,0,0,0,0,0,0,0,0,26,0,24,0,0,0,0,0,0,0,0
"Otu42",0,198,0,0,0,802,0,0,0,0,0,156,0,0,3331,0,0,0,1,3,2,0
"Otu412",0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,0,0,1,0,0,0
"Otu90",0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0
"Otu93",0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0
"Otu283",0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
"Otu218",0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0
"Otu92",0,0,15,0,0,0,0,0,0,0,0,0,394,0,0,0,0,2,0,0,0,0
"Otu301",0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
"Otu56",0,28,0,0,0,0,0,0,0,0,0,328,2,0,1015,0,0,0,0,0,0,0
"Otu43",0,0,71,61,451,1,217,0,0,0,742,0,139,701,0,609,8,5676,13193,0,3552,5269
"Otu165",0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,2,0,0,0
"Otu314",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
"Otu237",0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
"Otu188",0,0,0,0,0,0,0,0,0,0,106,0,0,124,0,0,0,0,1,0,0,0
"Otu265",0,0,0,0,2,0,0,0,0,0,0,0,0,71,0,0,0,4,0,0,0,0
"Otu233",0,0,0,0,0,0,0,0,0,0,48,0,0,87,0,0,0,0,0,4,0,0
"Otu353",0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"Otu377",0,0,0,0,0,0,0,16,0,0,0,0,0,25,0,0,0,0,0,0,0,2
"Otu346",0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
"Otu558",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"Otu352",0,0,0,14,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
"Otu478",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"Otu505",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Otu55",84,0,0,0,31,7,3,0,0,480,4,0,1,267,961,0,1,13,0,0,0,68
"Otu203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0
"Otu109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0
"Otu211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,17,0,0,0,0,0,0
"Otu269",0,0,0,0,0,0,0,0,0,3,0,0,0,37,63,0,0,0,0,0,12,0
"Otu147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,13,107,0,22,0
"Otu278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,28,6,0,0,2
"Otu411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"Otu87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,30,94,5,50,38,50
"Otu401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,3
"Otu607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Otu454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"Otu286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,43,0,8,35
"Otu489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,9
"Otu550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,9,0,0,0
"Otu599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,16,0,1,24
"Otu16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9666,0,0,0,0,0
"Otu397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,1
"Otu905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"Otu298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
"Otu470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"Otu321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,68,0,4,13
"Otu444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0
"Otu467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
"Otu779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Otu933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Otu655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
"Otu394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,1
"Otu513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Otu764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,3,10
"Otu638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Otu572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Otu874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Otu899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1
"Otu562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"Otu551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Otu728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Otu744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Otu603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Otu446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"Otu559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Otu886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Otu331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
"Otu319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
"Otu206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0
"Otu471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"Otu458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
