#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,YBH039,YBH041,YBH051,YBH052,YBH053,YBH055,YBH056,,,,YBH,,
Otu445,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,,,,,
Otu916,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,,,,,
Otu159,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,33,0,80,88,3,0,5,1,,,,,
Otu28,0,1,0,0,0,4,0,22,1870,528,0,0,0,0,0,2,0,0,0,0,0,0,2424,,,,,
Otu545,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu649,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu1126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu1087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu637,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,
Otu897,0,1,0,0,2,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,,,,,
Otu917,0,0,64,0,0,0,0,0,0,0,0,0,0,1,0,142,64,3,101,0,114,256,0,,,,,
Otu492,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu299,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,8,0,27,50,0,7,31,0,,,,,
Otu7,0,0,427,0,131,0,0,0,0,0,125,0,768,664,0,1380,79,11062,21003,140,4434,19721,1024,,,,,
Otu200,0,0,118,0,0,0,0,0,0,1,0,0,469,0,0,0,0,0,0,0,0,0,470,,,,,
Otu670,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,3,0,53,210,0,21,49,0,,,,,
Otu84,0,0,85,0,0,0,0,0,0,0,0,0,8,0,0,1,109,127,72,34,14,49,8,,,,,
Otu400,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu325,0,0,130,0,5,0,0,0,0,0,2,0,0,2,0,291,9,1046,922,1,360,1221,7,,,,,
Otu257,0,0,63,0,0,0,0,0,0,0,0,0,0,1,0,21,2,33,53,9,13,60,0,,,,,
Otu212,0,0,113,0,0,1,0,0,0,0,0,0,91,0,0,0,0,0,3,0,0,0,92,,,,,
Otu85,0,0,191,0,0,0,0,0,0,0,131,0,0,0,0,9,0,71,55,0,123,79,131,,,,,
Otu317,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu912,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,
Otu195,0,0,39,0,1,37,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,86,,,,,
Otu152,0,0,33,0,3,0,0,0,0,148,0,135,0,0,0,2,3,0,1,0,0,0,286,,,,,
Otu1154,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,
Otu73,0,0,99,0,0,0,0,0,0,0,0,0,0,71,0,1,0,344,261,0,124,302,0,,,,,
Otu220,0,0,59,0,0,0,0,0,0,0,0,0,0,112,0,0,0,2,17,0,3,3,0,,,,,
Otu129,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,116,0,552,3628,0,336,577,1,,,,,
Otu228,0,0,44,0,0,0,0,0,0,0,81,0,0,213,0,0,0,2,2,0,0,4,81,,,,,
Otu135,0,0,2,1,0,7,1,0,0,0,63,39,0,50,97,0,0,0,0,0,0,0,110,,,,,
Otu89,0,0,7,61,450,1,217,0,0,0,741,0,139,0,0,0,0,27,57,0,31,35,1548,,,,,
Otu499,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu98,0,0,9,27,139,1,0,65,0,0,194,2,5,0,0,5,0,3,1,1416,0,0,406,,,,,
Otu38,0,0,36,0,0,579,0,273,0,639,0,232,0,0,0,14,4,0,0,0,0,0,1723,,,,,
