"job_id";"sequence_number";"sequence_identifier";"full_name";"sequence_score";"bp_score";"cutoff_head";"cutoff_tail";"identity";"quality";"startpos";"stoppos";"ecolipos";"bps";"gene_bps";"turn";"lca_tax_embl_ebi_ena";"lca_tax_gtdb";"lca_tax_ltp";"lca_tax_rdp";"lca_tax_slv"
"828393";"27";"Otu27";"None";"0";"99";"0";"0";"100";"100";"31188";"41784";"986";"404";"404";"none";"Bacteria;";"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium phoceense;";"Unclassified;";"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;";"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;"
"828393";"28";"Otu28";"None";"0";"96";"0";"0";"100";"100";"31188";"41784";"986";"405";"405";"none";"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis;";"Unclassified;";"Unclassified;";"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;"
"828393";"29";"Otu29";"None";"0";"99";"0";"0";"100";"100";"31188";"41784";"986";"402";"402";"none";"Bacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Dermacoccus;";"Unclassified;";"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Dermacoccus;";"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Dermacoccaceae;Dermacoccus;";"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Dermacoccus;"
"828393";"30";"Otu30";"None";"0.996429";"97";"0";"0";"99.5086";"99";"31188";"41784";"986";"406";"406";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae Sedis XI;Finegoldia;";"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Finegoldia;"
"828393";"31";"Otu31";"None";"0.950271";"95";"0";"0";"89.731";"95";"31188";"41784";"986";"403";"403";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;"
"828393";"32";"Otu32";"None";"0";"99";"0";"0";"100";"100";"31188";"41784";"986";"403";"403";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;""Proteobacteria"";Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;";"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;"
"828393";"33";"Otu33";"None";"0.996377";"101";"0";"0";"99.7389";"99";"31188";"41784";"986";"383";"383";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;""Proteobacteria"";Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;";"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;"
"828393";"34";"Otu34";"None";"0.966706";"95";"0";"0";"93.4146";"96";"31188";"41784";"986";"408";"408";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;""Fusobacteria"";Fusobacteriia;""Fusobacteriales"";""Fusobacteriaceae"";Cetobacterium;";"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium;"
"828393";"35";"Otu35";"None";"0";"100";"0";"0";"100";"100";"31188";"41784";"986";"400";"400";"none";"Bacteria;";"Unclassified;";"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;";"Bacteria;""Proteobacteria"";Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;";"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;"
"828393";"36";"Otu36";"None";"0.947496";"96";"0";"0";"82.9146";"94";"31188";"41784";"986";"397";"397";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;"
"828393";"37";"Otu37";"None";"0.978594";"96";"0";"0";"93.8875";"97";"31188";"41784";"986";"409";"409";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cellulosilyticum;";"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;"
