"","RG025","RG026","RG027","RG029","RG031","RG032","RG033","RG034","RG037","RG038","RG043","RG045","RG048","RG049","RG050"
"Otu216",0,0,0,0,0,0,0,0,0,0,0,73,0,0,0
"Otu310",0,0,0,0,0,0,0,0,0,0,0,26,0,8,0
"Otu30",0,52,0,0,0,229,0,0,0,142,0,156,0,0,2845
"Otu522",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Otu72",0,0,0,0,0,0,0,0,0,0,0,0,128,0,0
"Otu75",0,0,0,0,0,0,0,0,0,0,0,0,159,0,0
"Otu255",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"Otu195",0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"Otu74",0,0,6,0,0,0,0,0,0,0,0,0,145,1,0
"Otu265",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"Otu43",0,9,0,0,0,0,0,0,0,0,0,328,1,0,870
"Otu144",0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
"Otu276",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"Otu540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu214",0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"Otu162",0,0,0,0,0,0,0,0,0,0,30,0,0,45,0
"Otu241",0,0,0,0,2,0,0,0,0,0,0,0,0,20,0
"Otu209",0,0,0,0,0,0,0,0,0,0,12,0,0,39,0
"Otu374",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Otu311",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Otu316",0,0,0,0,0,0,0,8,0,0,0,0,0,10,0
"Otu297",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"Otu402",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Otu301",0,0,0,2,0,0,0,0,0,0,0,0,0,7,0
"Otu367",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Otu521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu381",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Otu42",30,0,0,0,5,1,1,0,0,292,0,0,0,102,821
"Otu176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
"Otu90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,330
"Otu186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
"Otu243",0,0,0,0,0,0,0,0,0,2,0,0,0,17,52
