,RGnumSampled,variable,value,Location
248,24700,usearch.RG025,44.388,Governors Island
249,24800,usearch.RG025,44.4,Governors Island
250,24900,usearch.RG025,44.413,Governors Island
251,25000,usearch.RG025,44.428,Governors Island
252,25100,usearch.RG025,44.444,Governors Island
253,25200,usearch.RG025,44.457,Governors Island
254,25300,usearch.RG025,44.479,Governors Island
255,25400,usearch.RG025,44.491,Governors Island
256,25500,usearch.RG025,44.506,Governors Island
257,25600,usearch.RG025,44.525,Governors Island
258,25700,usearch.RG025,44.54,Governors Island
259,25800,usearch.RG025,44.553,Governors Island
260,25900,usearch.RG025,44.562,Governors Island
261,26000,usearch.RG025,44.58,Governors Island
262,26100,usearch.RG025,44.598,Governors Island
263,26200,usearch.RG025,44.612,Governors Island
264,26300,usearch.RG025,44.626,Governors Island
265,26400,usearch.RG025,44.647,Governors Island
266,26500,usearch.RG025,44.662,Governors Island
267,26600,usearch.RG025,44.681,Governors Island
268,26700,usearch.RG025,44.692,Governors Island
269,26800,usearch.RG025,44.706,Governors Island
270,26900,usearch.RG025,44.722,Governors Island
271,27000,usearch.RG025,44.742,Governors Island
272,27100,usearch.RG025,44.766,Governors Island
273,27200,usearch.RG025,44.778,Governors Island
274,27300,usearch.RG025,44.795,Governors Island
275,27400,usearch.RG025,44.811,Governors Island
276,27500,usearch.RG025,44.829,Governors Island
277,27600,usearch.RG025,44.84,Governors Island
278,27700,usearch.RG025,44.856,Governors Island
279,27800,usearch.RG025,44.873,Governors Island
280,27900,usearch.RG025,44.885,Governors Island
281,28000,usearch.RG025,44.902,Governors Island
282,28100,usearch.RG025,44.923,Governors Island
283,28200,usearch.RG025,44.938,Governors Island
284,28300,usearch.RG025,44.958,Governors Island
285,28400,usearch.RG025,44.972,Governors Island
286,28500,usearch.RG025,44.986,Governors Island
287,28600,usearch.RG025,44.999,Governors Island
288,28700,usearch.RG025,45.014,Governors Island
289,28800,usearch.RG025,45.034,Governors Island
290,28900,usearch.RG025,45.045,Governors Island
291,29000,usearch.RG025,45.063,Governors Island
292,29100,usearch.RG025,45.082,Governors Island
293,29200,usearch.RG025,45.1,Governors Island
294,29300,usearch.RG025,45.12,Governors Island
295,29400,usearch.RG025,45.132,Governors Island
296,29500,usearch.RG025,45.145,Governors Island
297,29600,usearch.RG025,45.159,Governors Island
298,29700,usearch.RG025,45.163,Governors Island
299,29800,usearch.RG025,45.18,Governors Island
300,29900,usearch.RG025,45.192,Governors Island
301,30000,usearch.RG025,45.203,Governors Island
302,30100,usearch.RG025,45.216,Governors Island
303,30200,usearch.RG025,45.231,Governors Island
304,30300,usearch.RG025,45.245,Governors Island
305,30400,usearch.RG025,45.252,Governors Island
306,30500,usearch.RG025,45.268,Governors Island
307,30600,usearch.RG025,45.278,Governors Island
308,30700,usearch.RG025,45.288,Governors Island
309,30800,usearch.RG025,45.3,Governors Island
310,30900,usearch.RG025,45.318,Governors Island
311,31000,usearch.RG025,45.328,Governors Island
312,31100,usearch.RG025,45.339,Governors Island
313,31200,usearch.RG025,45.354,Governors Island
314,31300,usearch.RG025,45.368,Governors Island
315,31400,usearch.RG025,45.388,Governors Island
316,31500,usearch.RG025,45.405,Governors Island
317,31600,usearch.RG025,45.419,Governors Island
318,31700,usearch.RG025,45.431,Governors Island
319,31800,usearch.RG025,45.445,Governors Island
320,31900,usearch.RG025,45.463,Governors Island
321,32000,usearch.RG025,45.477,Governors Island
322,32100,usearch.RG025,45.483,Governors Island
323,32200,usearch.RG025,45.498,Governors Island
324,32300,usearch.RG025,45.512,Governors Island
325,32400,usearch.RG025,45.526,Governors Island
326,32500,usearch.RG025,45.533,Governors Island
327,32600,usearch.RG025,45.542,Governors Island
328,32700,usearch.RG025,45.557,Governors Island
329,32800,usearch.RG025,45.57,Governors Island
330,32900,usearch.RG025,45.581,Governors Island
331,33000,usearch.RG025,45.589,Governors Island
332,33100,usearch.RG025,45.596,Governors Island
333,33200,usearch.RG025,45.61,Governors Island
334,33300,usearch.RG025,45.619,Governors Island
335,33400,usearch.RG025,45.629,Governors Island
336,33500,usearch.RG025,45.641,Governors Island
337,33600,usearch.RG025,45.652,Governors Island
