#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,,,,,,
Otu415,0,0,115,0,7,0,0,0,0,0,266,0,0,0,0,115,,,,,
Otu116,0,0,2,1,0,7,1,0,0,0,63,39,0,50,97,150,,,,,
Otu70,0,0,7,61,450,1,217,0,0,0,741,0,139,0,0,207,,,,,
Otu464,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,
Otu380,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,,,,,
Otu27,0,0,36,0,0,579,0,273,0,639,0,232,0,0,0,36,,,,,
Otu71,0,0,13,0,1,0,0,0,0,0,0,0,0,1165,0,1178,,,,,
Otu308,0,0,22,0,0,10,0,0,0,0,0,0,0,0,0,22,,,,,
Otu326,0,0,9,0,0,0,0,4,0,0,21,0,0,0,0,9,,,,,
Otu369,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,
Otu156,0,0,6,157,42,0,0,0,0,1,0,0,680,9,176,1028,,,,,
Otu477,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,
Otu413,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,
Otu274,0,0,8,0,7,0,0,0,0,1,38,1,0,2,0,10,,,,,
Otu411,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,
Otu73,0,0,10,0,0,0,0,0,0,0,0,1,0,388,0,398,,,,,
Otu159,0,0,2,0,16,0,0,0,0,0,0,0,0,398,0,400,,,,,
Otu416,0,0,4,0,135,0,0,0,0,1,20,0,2,0,0,6,,,,,
Otu138,0,0,2,1,3,0,0,0,0,0,0,0,0,622,0,625,,,,,
Otu418,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,
Otu566,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu421,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,
Otu312,0,0,2,0,0,0,0,0,0,0,0,29,0,0,0,2,,,,,
Otu54,0,0,1,0,0,0,0,0,0,0,0,682,1,0,0,2,,,,,
Otu23,0,0,0,1553,0,0,0,0,0,0,0,0,0,0,0,1553,,,,,
Otu35,0,0,0,434,56,312,0,726,0,0,0,0,42,4,0,480,,,,,
Otu45,0,0,0,136,0,0,0,0,0,526,0,1531,0,0,0,136,,,,,
Otu449,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,5,,,,,
Otu151,0,0,0,12,0,0,17,0,120,0,0,0,0,0,0,12,,,,,
Otu340,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,,,,,
Otu455,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,8,,,,,
Otu443,0,0,0,1,4,0,0,5,0,0,27,0,0,0,0,1,,,,,
Otu536,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu459,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,,,
Otu528,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,,,,,
Otu377,0,0,0,0,2301,27,0,0,1,0,480,1,0,42,0,42,,,,,
Otu26,0,0,0,0,634,782,32,0,0,0,1,0,0,0,0,0,,,,,
Otu22,0,0,0,0,2584,649,0,0,0,0,0,0,0,0,0,0,,,,,
Otu300,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu102,0,0,0,0,3,1,0,0,0,281,0,0,0,0,0,0,,,,,
Otu550,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu445,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,,,,,
Otu286,0,0,0,0,10,2,0,0,0,0,74,0,0,0,0,0,,,,,
Otu473,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu388,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,
